date,site,product_name,price_eur,url,stock_status
2026-04-30,trovaincasso.it,"Insinkerator 1974550 Dissipatore  EVOLUTION PLUS 550 EC Tecnologia a due fasi - Potenza 0,55 HP",264.74,https://www.trovaincasso.it/quickview/index/view/id/27239,unknown
2026-04-30,trovaincasso.it,"Insinkerator 1974700 Dissipatore  PREMIUM 700 EC. Tecnologia a due fasi Potenza 0,75 HP Con tappo salvaposate",435.54,https://www.trovaincasso.it/quickview/index/view/id/27240,unknown
2026-04-30,trovaincasso.it,"Insinkerator 1974750 Dissipatore ADVANCED EVOLUTION PLUS 750 EC. Tecnologia a tre fasi - Potenza 0,75 HP - Con tappo salvaposate",656.36,https://www.trovaincasso.it/quickview/index/view/id/27241,unknown
2026-04-30,trovaincasso.it,"Insinkerator 1974100 Dissipatore ADVANCED EVOLUTION PLUS 1000 EC - Tecnologia a 4 fasi - Potenza 1,00 HP  - Con tappo salvaposate",824.72,https://www.trovaincasso.it/quickview/index/view/id/27242,unknown
2026-04-30,trovaincasso.it,Insinkerator ART. 1975078 MODELLO LC-50 PROFESSIONAL Dissipatore ecologico professionale con tappo salvaposate,1150.46,https://www.trovaincasso.it/quickview/index/view/id/27243,unknown
2026-04-30,trovaincasso.it,Insinkerator ART. 1975075 Tappo salvaposate,34.16,https://www.trovaincasso.it/quickview/index/view/id/27244,unknown
2026-04-30,trovaincasso.it,Insinkerator ART. 1975511 Kit raccordo lavastoviglie,39.04,https://www.trovaincasso.it/quickview/index/view/id/27246,unknown
2026-04-30,trovaincasso.it,Insinkerator ART. 1975512 Kit collegamento troppopieno,61.0,https://www.trovaincasso.it/quickview/index/view/id/27247,unknown
2026-04-30,trovaincasso.it,Insinkerator 1508165 Blancocare Liquido concentrato per gli scarichi,67.1,https://www.trovaincasso.it/quickview/index/view/id/27248,unknown
2026-04-30,trovaincasso.it,Insinkerator ART. 1975491 Kit collarino lavelli in marmo fino a spessore 50 mm.,73.2,https://www.trovaincasso.it/quickview/index/view/id/27245,unknown
2026-04-30,amazon.it,"Insinkerator Premium 550 EC - Tritatutto per rifiuti da cucina con motore a induzione da 0,5 CV e interruttore dell'aria",360.0,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Insinkerator Premium 700 EC - Tritatutto per rifiuti da cucina con motore a induzione da 0,75 CV e interruttore dell'aria",509.0,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,Insinkerator Evolution Plus 1000 EC - Tritatutto da cucina con motore a induzione da 1 CV con interruttore dell'aria,889.0,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Insinkerator Evolution Plus 750 EC - Tritatutto da cucina con motore a induzione da 0,75 CV con interruttore dell'aria",665.0,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,InSinkErator Standard 460,299.0,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"InSinkErator Sistema di smaltimento dei rifiuti Alimentari, Acciaio Inossidabile, Rosso, 31,1 x 22 x 31,1 cm",615.13,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"InSinkErator Badger 500, Smaltimento rifiuti da cucina ad alimentazione continua da 1/2 HP, serie Badger BADGER 500",168.93,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Artist CNTR333 smaltimento rifiuti, Nero",345.06,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Smaltimento Rifiuti, Tritarifiuti Alimentare, Tritarifiuti per Lavello Cucina, Acciaio Inossidabile, 7.5 HP 2800 giri/min, Tritarifiuti Magnetico, Silenzioso con Interruttore, Tritarifiuti Alimentari.",178.85,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"InSinkErator in-Sink-ERATOR/MASTERPLUMBER MP 1/2HP Dissipatore Rifiuti, Acciaio Legato, 1",196.76,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"VEVOR Tritarifiuti per Lavello da Cucina, 0,74 kW, Sistema di Smaltimento Rifiuti Alimentari in Acciaio Inox, Motore CC, Supporto EZ, 3960 giri/min, con Cavo di Alimentazione, Paraspruzzi per la Casa",112.03,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,InSinkErator PRO750 Pro Series 3/4 HP Food Waste Disposal with Evolution Series Technology,404.2,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"BLANCO FWD Lite | Tritatutto da cucina 0,5 CV | Smaltimento rifiuti per lavello in cucina | Tritatutto per lo smaltimento di residui di cibo e rifiuti alimentari | Capacità 900 ml",258.13,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"INSINKERATOR LEDefense Flangia per lo smaltimento dei rifiuti, accessorio antimicrobico LED per smaltimento rifiuti INSINKERATOR, FLG-SS-LED",128.87,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"VEVOR Tritarifiuti per Lavello da Cucina, 0,74 kW, Sistema di Smaltimento Rifiuti Alimentari in Acciaio Inox, Motore CC, Supporto EZ, 3960 giri/min, con Cavo di Alimentazione, Paraspruzzi per la Casa",112.03,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"VEVOR Tritarifiuti per Lavello da Cucina, 0,37 kW, Sistema di Smaltimento Rifiuti Alimentari in Acciaio Inox, Motore CC, Supporto EZ, 3820 giri/min, con Cavo di Alimentazione, Paraspruzzi per la Casa",76.9,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"VEVOR Tritarifiuti per Lavello da Cucina, 0,559 kW, Sistema di Smaltimento Rifiuti Alimentari in Acciaio Inox, Supporto EZ, 3930 giri/min, con Cavo di Alimentazione Motore CC, Paraspruzzi per la Casa",94.99,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,Insinkerator 71498 - Pezzo di tritarifiuti,37.82,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Fdit 2 Pezzi Copertura Antispruzzo per Tritarifiuti, Compatibile con, Diametro 87 mm, Tappo Silicone per Lavello",16.43,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Tbest 2 Pezzi Copertura Antischizzi in Silicone per Tritarifiuti Compatibile con InSinkErator, 87mm Diametro Esterno",21.92,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"VEVOR Tritarifiuti per Lavello da Cucina, 0,37 kW, Sistema di Smaltimento Rifiuti Alimentari in Acciaio Inox, Motore CC, Supporto EZ, 3820 giri/min, con Cavo di Alimentazione, Paraspruzzi per la Casa",76.9,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Smaltimento Rifiuti, Tritarifiuti Alimentare, Tritarifiuti per Lavello Cucina, Acciaio Inossidabile, 3/4 HP 3200 rpm, Tritarifiuti Magnetico, Silenzioso con Interruttore, Tritarifiuti Alimentari.",168.85,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Tritarifiuti in Acciaio Inox, Tritarifiuti per Avanzi di Cucina da 1000 Ml, Protezione Acustica, Tritarifiuti per Rifiuti Alimentari da Cucina Sottolavello, 3/4 HP",196.99,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"2Pezzi Deflettore per Lavello con Piastra Antispruzzo per lo Smaltimento dei Rifiuti, Coperchio Antispruzzo per Dissipatore di Rifiuti in Silicone Adatto per InSink-Erator con Diametro Esterno di 87m",20.89,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"VEVOR Tritarifiuti per Lavello da Cucina, 0,559 kW, Sistema di Smaltimento Rifiuti Alimentari in Acciaio Inox, Montaggio 3 Bulloni, 3600 giri/min, con Cavo di Alimentazione, Paraspruzzi per la Casa",94.9,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"VEVOR Tritarifiuti per Lavello da Cucina, 0,37 kW, Sistema di Smaltimento Rifiuti Alimentari in Acciaio Inox, Montaggio 3 Bulloni, 3820 giri/min, con Cavo di Alimentazione, Paraspruzzi per la Casa",91.99,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"MINRS 560 W, trituratore per rifiuti da cucina, con interruttore d'aria, 3600 giri/min, 1,15 l, per lavello, tritatutto",92.0,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Tritarifiuti, Raccoglitore di Cibo, Tritatutto, Tritatutto da Cucina, in Acciaio Inox, Materiale 370W (Nero)",275.44,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Adattatore per Tubo di Scarico per Lavastoviglie Compatibile con Tritarifiuti Insinkerator, Include 1 Connettore di Ingresso 1 Fascetta Stringitubo e 3 Fascette a Molla",12.99,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Smaltimento Rifiuti, Tritarifiuti Alimentare, Tritarifiuti per Lavello Cucina, Acciaio Inossidabile, 7.5 HP 2800 giri/min, Tritarifiuti Magnetico, Silenzioso con Interruttore, Tritarifiuti Alimentari.",178.85,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Tbest 2 Pezzi Copertura Antischizzi in Silicone per Tritarifiuti Compatibile con InSinkErator, 87mm Diametro Esterno",21.92,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,"Funzionamento Silenzioso, Efficace Trattamento dei Rifiuti Alimentari, Installazione Rapida e Semplice, Alimentazione Continua da 630 W per con Materiale in Acciaio",270.45,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
2026-04-30,amazon.it,Tritarifiuti Splash Guard Smaltimento Rifiuti Protezioni antispruzzo e tappo Lavello Smaltimento Smaltimento Sostituzione Tappo di scarico Protezione antispruzzo Cucina Scarico rifiuti alimentari,15.8,https://www.amazon.it/s?k=insinkerator+tritarifiuti,unknown
